episodio,recompensa_total,pasos,epsilon,q_values_mean,td_errors_mean
1,-49.0500006750226,1600,0.9989001,0.8000082196876395,1.0374798528152127
2,-88.65000128746033,1600,0.9979011998999999,0.523808460536006,0.7422022367835178
3,-87.85000128298998,1600,0.9969032987001,0.6408810147731188,0.8566781044631198
4,-68.25000097602606,1600,0.9959063954013999,0.5761639984570399,0.7315377667909272
5,-87.80000093206763,1600,0.9949104890059985,0.3556695216364816,0.5058060782590463
6,-62.50000087916851,1600,0.9939155785169925,0.30213998216527294,0.4245845294015825
7,-23.050000306218863,1600,0.9929216629384755,0.2884050761814486,0.35766408464931926
8,-81.10000115633011,1600,0.991928741275537,0.15960392489972294,0.23685428747508958
9,-71.75000103190541,1600,0.9909368125342615,0.5595942367427941,0.6082351468567119
10,-70.60000102221966,1600,0.9899458757217272,0.46362207377628295,0.5702648063479702
11,-85.05000125989318,1600,0.9889559298460054,0.3621428653041671,0.45060454121413773
12,-88.60000127181411,1600,0.9879669739161594,0.2264071863299041,0.3221383731343225
13,-83.2500012293458,1600,0.9869790069422433,0.3157545938718671,0.40942069325596897
14,-36.500000454485416,1600,0.985992027935301,0.2154240268729206,0.30045067590952534
15,-71.45000103488564,1600,0.9850060359073658,0.32956421253753054,0.39971021628965286
16,-85.90000126883388,1600,0.9840210298714585,0.2753495097740481,0.3417777313536911
17,-8.0,1600,0.983037008841587,0.24502367858011218,0.28430257862346203
18,-32.00000039488077,1600,0.9820539718327453,0.15917558773765966,0.1935788194045599
19,-70.50000094249845,1600,0.9810719178609126,0.24933662277436242,0.2889572193671239
20,-80.30000115931034,1600,0.9800908459430517,0.19652530442317012,0.24600878564895948
21,-97.95000141859055,1600,0.9791107550971087,0.2018499056834554,0.26537859032593714
22,-21.400000277906656,1600,0.9781316443420115,0.15655317201244412,0.21171911336979668
23,-60.25000087916851,1600,0.9771535126976695,0.15319893219252617,0.20143932231312733
24,-31.200000397861004,1600,0.9761763591849718,0.15421908410754395,0.19467483306140485
25,-116.9000016823411,1600,0.9752001828257868,0.15234220330878362,0.1924522610404917
26,-50.0500006750226,1600,0.974224982642961,0.25774977143807193,0.20629026858713287
27,-44.50000061839819,1600,0.973250757660318,0.143159578519293,0.11971788264974645
28,-71.95000102370977,1600,0.9722775069026577,0.1538637258609009,0.16206308281540835
29,-84.35000121966004,1600,0.971305229395755,0.11335398326476871,0.16562115407980849
30,-43.95000060275197,1600,0.9703339241663593,0.18688543538235097,0.1440493040665667
31,-79.65000115334988,1600,0.969363590242193,0.2576150858774845,0.11609280808431503
32,-11.250000096857548,1600,0.9683942266519507,0.2393026784742034,0.2254882159415803
33,-60.20000087842345,1600,0.9674258324252988,0.10410014018779144,0.15751674165155435
34,-85.70000124722719,1600,0.9664584065928735,0.24787885861195202,0.11024891274434702
35,-38.85000056773424,1600,0.9654919481862806,0.34199730062671946,0.12366092217603393
